method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-iP786mMvA0oHixPQhfvk0,0.059 ± 0.069,0.189 ± 0.023,0.094 ± 0.027,0.290 ± 0.119,-0.017 ± 0.181,0.093 ± 0.099,wolberlab,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-82M7l71QrplhHfU35b05e,0.059 ± 0.069,0.189 ± 0.023,0.094 ± 0.027,0.290 ± 0.119,-0.017 ± 0.181,0.093 ± 0.099,talagayev,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-Jn4iQZjtRywYDeNmF85la,0.118 ± 0.071,0.192 ± 0.024,0.103 ± 0.029,0.399 ± 0.128,-0.145 ± 0.323,0.182 ± 0.099,wtrd,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
competition-prediction-ql3PX5bGw0STK7pjnNKxh,0.037 ± 0.069,0.206 ± 0.024,0.103 ± 0.024,0.396 ± 0.128,-0.153 ± 0.288,0.050 ± 0.102,ashmita-bose,https://github.com/AshmitaBose/Polaris-ADMET-ASHMITA-BOSE.git
competition-prediction-3snGxRMKjY2PBWmJoWpHP,0.121 ± 0.071,0.217 ± 0.021,0.099 ± 0.027,0.082 ± 0.061,-0.067 ± 0.093,0.170 ± 0.102,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-oz40Rvqtsfm2cVvVdQNRG,0.299 ± 0.068,0.234 ± 0.017,0.088 ± 0.017,0.515 ± 0.113,0.013 ± 0.233,0.416 ± 0.089,hmacdope,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
competition-prediction-late-qt8XE61huX0BJ7ODg48bj,0.185 ± 0.067,0.288 ± 0.017,0.116 ± 0.022,0.175 ± 0.046,-0.302 ± 0.273,0.260 ± 0.090,ppxasjsm,https://github.com/meyresearch/polaris_challenge/blob/main/admet/report.md
competition-prediction-late-uxHNIu9aFS7AUuf0E4FXI,0.308 ± 0.062,0.322 ± 0.024,0.169 ± 0.025,0.531 ± 0.094,-0.983 ± 0.762,0.449 ± 0.083,apalania,https://github.com/apalania/Polaris_ASAP-Challenge-2025/blob/main/Report.pdf
competition-prediction-G52r9BmREKCiw6P598Lic,0.191 ± 0.061,0.814 ± 0.026,0.740 ± 0.048,0.298 ± 0.084,-7.907 ± 3.998,0.279 ± 0.088,hugo-oicr-quaccel,https://docs.google.com/document/d/1NzwitQ-LugGcRjqfumZrAQQi-Wy1kEVC4U1-Rmfty9k/edit?usp=sharing
competition-prediction-qHtsXv3UyYdLY71ABZz7R,0.097 ± 0.075,1.638 ± 0.028,2.773 ± 0.066,0.311 ± 0.110,-32.372 ± 14.853,0.147 ± 0.102,kushal,http://storage.polarishub.io/2025-01-asap-discovery/reports/kushal.docx
competition-prediction-Jbhd1kx8mR7pfB4Z2xGUl,0.139 ± 0.075,1.923 ± 0.027,3.782 ± 0.079,0.535 ± 0.116,-44.479 ± 20.137,0.195 ± 0.105,cc25,https://docs.google.com/document/d/1wwmnhGN82uaxNyC3Mr5kj5fCGb_bQ7wT/edit?usp=sharing&ouid=112042337312439931657&rtpof=true&sd=true
competition-prediction-SL0yrsvshm8qTtEq2pNCY,0.229 ± 0.061,1.952 ± 0.028,3.899 ± 0.083,0.308 ± 0.083,-45.891 ± 20.773,0.330 ± 0.087,kriegegroup,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
