method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-Ekm3jhN497N5U3dupysp6,0.400 ± 0.052,0.442 ± 0.029,0.286 ± 0.033,0.558 ± 0.062,0.168 ± 0.114,0.566 ± 0.066,dzqh,https://drive.google.com/file/d/11JPTjWpcehLFpgmo9jpcJXyurLSvpTqm/view?usp=sharing
competition-prediction-salzAVayEdE5bdSjZjcWF,0.409 ± 0.054,0.445 ± 0.027,0.279 ± 0.029,0.568 ± 0.062,0.188 ± 0.094,0.563 ± 0.070,xiaolinpan,https://docs.google.com/document/d/1BzIMfdOfXJMHmuIfnlQUZRCnVfqNQKzgXZbnpJZBFwI/edit?usp=sharing
competition-prediction-17gXzNQxcTxxissTDCTcD,0.315 ± 0.063,0.446 ± 0.029,0.292 ± 0.031,0.479 ± 0.055,0.156 ± 0.049,0.451 ± 0.083,agitter,https://doi.org/10.5281/zenodo.14993394
competition-prediction-o9F72HDuybJSoN3gBFi2U,0.301 ± 0.063,0.449 ± 0.034,0.342 ± 0.045,0.462 ± 0.070,0.008 ± 0.123,0.407 ± 0.088,vladvin,https://docs.google.com/document/d/16y9EtElTmJ-p0bAYjJaNgkU8WP-CYz77lhHB2oxkTc4/edit?usp=sharing
competition-prediction-qh2MvdTKb2KrG6224vPsy,0.301 ± 0.057,0.459 ± 0.028,0.300 ± 0.038,0.442 ± 0.066,0.130 ± 0.106,0.435 ± 0.077,steffen-wedig,https://drive.google.com/file/d/1ZkPnvkzNaEYe45fLpGZyNUvU9rnM_oDq/view?usp=sharing
competition-prediction-phAZvCj3WPF5U4b2bV6ye,0.360 ± 0.047,0.462 ± 0.028,0.310 ± 0.032,0.528 ± 0.054,0.098 ± 0.102,0.529 ± 0.063,jharrison,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
competition-prediction-Jn4iQZjtRywYDeNmF85la,0.279 ± 0.055,0.470 ± 0.029,0.320 ± 0.032,0.485 ± 0.064,0.072 ± 0.085,0.412 ± 0.077,wtrd,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
competition-prediction-c3kSlwnqv552HB3emD1PH,0.294 ± 0.068,0.472 ± 0.029,0.316 ± 0.033,0.353 ± 0.063,0.085 ± 0.043,0.405 ± 0.092,azminewasi,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-admet-2025/report/report.pdf
competition-prediction-3snGxRMKjY2PBWmJoWpHP,-0.038 ± 0.060,0.512 ± 0.029,0.354 ± 0.033,0.011 ± 0.100,-0.025 ± 0.030,-0.063 ± 0.089,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-LpjDxthqjjxZK9fUXF7pZ,0.083 ± 0.069,0.554 ± 0.035,0.449 ± 0.045,0.116 ± 0.093,-0.303 ± 0.124,0.130 ± 0.101,yul533,https://github.com/yul533/polaris-antiviral-challenge/blob/main/admet%20prediction
competition-prediction-ql3PX5bGw0STK7pjnNKxh,0.174 ± 0.054,0.570 ± 0.033,0.450 ± 0.042,0.342 ± 0.071,-0.308 ± 0.143,0.260 ± 0.081,ashmita-bose,https://github.com/AshmitaBose/Polaris-ADMET-ASHMITA-BOSE.git
competition-prediction-late-qt8XE61huX0BJ7ODg48bj,nan ± nan,0.574 ± 0.033,0.453 ± 0.040,nan ± nan,-0.314 ± 0.111,nan ± nan,ppxasjsm,https://github.com/meyresearch/polaris_challenge/blob/main/admet/report.md
competition-prediction-G52r9BmREKCiw6P598Lic,0.387 ± 0.052,0.762 ± 0.039,0.782 ± 0.068,0.618 ± 0.056,-1.278 ± 0.270,0.554 ± 0.067,hugo-oicr-quaccel,https://docs.google.com/document/d/1NzwitQ-LugGcRjqfumZrAQQi-Wy1kEVC4U1-Rmfty9k/edit?usp=sharing
competition-prediction-late-uxHNIu9aFS7AUuf0E4FXI,0.147 ± 0.059,1.025 ± 0.067,1.590 ± 0.197,0.166 ± 0.092,-3.631 ± 0.685,0.225 ± 0.088,apalania,https://github.com/apalania/Polaris_ASAP-Challenge-2025/blob/main/Report.pdf
competition-prediction-qHtsXv3UyYdLY71ABZz7R,0.381 ± 0.065,1.437 ± 0.049,2.373 ± 0.139,0.567 ± 0.079,-5.920 ± 0.781,0.512 ± 0.084,kushal,http://storage.polarishub.io/2025-01-asap-discovery/reports/kushal.docx
competition-prediction-Jbhd1kx8mR7pfB4Z2xGUl,0.411 ± 0.053,1.747 ± 0.050,3.368 ± 0.170,0.612 ± 0.054,-8.822 ± 1.083,0.584 ± 0.067,cc25,https://docs.google.com/document/d/1wwmnhGN82uaxNyC3Mr5kj5fCGb_bQ7wT/edit?usp=sharing&ouid=112042337312439931657&rtpof=true&sd=true
competition-prediction-SL0yrsvshm8qTtEq2pNCY,0.106 ± 0.060,1.766 ± 0.052,3.456 ± 0.179,0.210 ± 0.087,-9.079 ± 1.117,0.150 ± 0.090,kriegegroup,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
