method,cld,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-c3kSlwnqv552HB3emD1PH,r,0.316 ± 0.026,0.396 ± 0.013,0.278 ± 0.019,0.503 ± 0.037,0.238 ± 0.033,0.432 ± 0.035,azminewasi,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-admet-2025/report/report.pdf
competition-prediction-iP786mMvA0oHixPQhfvk0,s,0.307 ± 0.025,0.416 ± 0.013,0.308 ± 0.020,0.485 ± 0.033,0.178 ± 0.052,0.431 ± 0.035,wolberlab,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-17gXzNQxcTxxissTDCTcD,t,0.247 ± 0.027,0.418 ± 0.016,0.377 ± 0.029,0.426 ± 0.036,0.079 ± 0.054,0.342 ± 0.038,agitter,https://doi.org/10.5281/zenodo.14993394
competition-prediction-oz40Rvqtsfm2cVvVdQNRG,u,0.359 ± 0.025,0.430 ± 0.011,0.279 ± 0.015,0.465 ± 0.034,0.141 ± 0.054,0.486 ± 0.032,hmacdope,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
competition-prediction-Jn4iQZjtRywYDeNmF85la,u,0.329 ± 0.027,0.430 ± 0.014,0.304 ± 0.017,0.541 ± 0.035,0.033 ± 0.076,0.459 ± 0.035,wtrd,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
competition-prediction-ql3PX5bGw0STK7pjnNKxh,v,0.265 ± 0.026,0.444 ± 0.016,0.382 ± 0.027,0.484 ± 0.036,0.032 ± 0.071,0.365 ± 0.037,ashmita-bose,https://github.com/AshmitaBose/Polaris-ADMET-ASHMITA-BOSE.git
competition-prediction-3snGxRMKjY2PBWmJoWpHP,v,0.177 ± 0.026,0.444 ± 0.014,0.352 ± 0.021,0.224 ± 0.035,0.104 ± 0.028,0.227 ± 0.038,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-late-qt8XE61huX0BJ7ODg48bj,w,0.117 ± 0.030,0.504 ± 0.014,0.375 ± 0.017,0.199 ± 0.030,-0.200 ± 0.073,0.162 ± 0.039,ppxasjsm,https://github.com/meyresearch/polaris_challenge/blob/main/admet/report.md
competition-prediction-LpjDxthqjjxZK9fUXF7pZ,x,0.079 ± 0.029,0.513 ± 0.016,0.457 ± 0.025,0.112 ± 0.039,-0.212 ± 0.045,0.122 ± 0.042,yul533,https://github.com/yul533/polaris-antiviral-challenge/blob/main/admet%20prediction
competition-prediction-late-uxHNIu9aFS7AUuf0E4FXI,y,0.387 ± 0.024,0.548 ± 0.019,0.572 ± 0.044,0.549 ± 0.033,-0.930 ± 0.221,0.528 ± 0.031,apalania,https://github.com/apalania/Polaris_ASAP-Challenge-2025/blob/main/Report.pdf
competition-prediction-G52r9BmREKCiw6P598Lic,z,0.393 ± 0.022,0.615 ± 0.015,0.559 ± 0.025,0.573 ± 0.027,-1.809 ± 0.802,0.544 ± 0.029,hugo-oicr-quaccel,https://docs.google.com/document/d/1NzwitQ-LugGcRjqfumZrAQQi-Wy1kEVC4U1-Rmfty9k/edit?usp=sharing
competition-prediction-82M7l71QrplhHfU35b05e,A,0.130 ± 0.026,0.663 ± 0.014,0.820 ± 0.034,0.262 ± 0.041,-1.679 ± 0.127,0.180 ± 0.037,talagayev,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-qHtsXv3UyYdLY71ABZz7R,B,0.293 ± 0.029,1.106 ± 0.020,1.617 ± 0.046,0.502 ± 0.036,-8.681 ± 2.980,0.404 ± 0.038,kushal,http://storage.polarishub.io/2025-01-asap-discovery/reports/kushal.docx
competition-prediction-Jbhd1kx8mR7pfB4Z2xGUl,C,0.428 ± 0.023,1.277 ± 0.018,2.158 ± 0.052,0.676 ± 0.029,-12.299 ± 4.043,0.582 ± 0.030,cc25,https://docs.google.com/document/d/1wwmnhGN82uaxNyC3Mr5kj5fCGb_bQ7wT/edit?usp=sharing&ouid=112042337312439931657&rtpof=true&sd=true
competition-prediction-SL0yrsvshm8qTtEq2pNCY,D,0.296 ± 0.026,1.338 ± 0.020,2.298 ± 0.057,0.450 ± 0.034,-12.796 ± 4.170,0.413 ± 0.037,kriegegroup,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
