method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-TBsd4iv0TjLURmde8dpxy,0.489 ± 0.055,0.509 ± 0.035,0.419 ± 0.052,0.722 ± 0.044,0.475 ± 0.084,0.638 ± 0.067,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
competition-prediction-LaEg2QtWYFvvpEvoTQfVu,0.524 ± 0.048,0.516 ± 0.037,0.449 ± 0.061,0.691 ± 0.063,0.440 ± 0.080,0.693 ± 0.054,austint,https://github.com/AustinT/asap-2025-challenge-gp
competition-prediction-Jn4iQZjtRywYDeNmF85la,0.444 ± 0.057,0.538 ± 0.037,0.468 ± 0.060,0.670 ± 0.054,0.418 ± 0.066,0.604 ± 0.068,wtrd,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
competition-prediction-oz40Rvqtsfm2cVvVdQNRG,0.528 ± 0.049,0.545 ± 0.037,0.468 ± 0.061,0.722 ± 0.046,0.412 ± 0.101,0.690 ± 0.056,hmacdope,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
competition-prediction-vKipjaVtYETyjz5by9vhU,0.425 ± 0.058,0.556 ± 0.037,0.492 ± 0.057,0.636 ± 0.062,0.386 ± 0.075,0.566 ± 0.071,wvirany,https://github.com/wvirany/BayesOpt
competition-prediction-eEd5qyePoHKWj7SqWB2pf,0.503 ± 0.047,0.566 ± 0.034,0.468 ± 0.046,0.696 ± 0.039,0.415 ± 0.072,0.676 ± 0.054,dodo,https://tinyurl.com/dodo-admet
competition-prediction-late-qt8XE61huX0BJ7ODg48bj,0.403 ± 0.062,0.586 ± 0.034,0.507 ± 0.055,0.664 ± 0.069,0.367 ± 0.074,0.536 ± 0.076,ppxasjsm,https://github.com/meyresearch/polaris_challenge/blob/main/admet/report.md
competition-prediction-c3kSlwnqv552HB3emD1PH,0.329 ± 0.059,0.632 ± 0.039,0.600 ± 0.072,0.533 ± 0.075,0.255 ± 0.059,0.457 ± 0.077,azminewasi,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-admet-2025/report/report.pdf
competition-prediction-G52r9BmREKCiw6P598Lic,0.393 ± 0.054,0.640 ± 0.042,0.615 ± 0.072,0.531 ± 0.061,0.233 ± 0.087,0.540 ± 0.069,hugo-oicr-quaccel,https://docs.google.com/document/d/1NzwitQ-LugGcRjqfumZrAQQi-Wy1kEVC4U1-Rmfty9k/edit?usp=sharing
competition-prediction-bW4KQ3HLK0ZS1RZybs8iZ,0.464 ± 0.048,0.675 ± 0.047,0.742 ± 0.092,0.678 ± 0.043,0.068 ± 0.161,0.641 ± 0.058,balamuruganthirukonda,https://docs.google.com/document/d/1lfroAm0TW4mxhHkZjAngHVioe5vrmQMp2C6TzWinu_g/edit?usp=sharing
competition-prediction-qHtsXv3UyYdLY71ABZz7R,0.169 ± 0.072,0.677 ± 0.044,0.709 ± 0.086,0.377 ± 0.098,0.116 ± 0.098,0.224 ± 0.098,kushal,http://storage.polarishub.io/2025-01-asap-discovery/reports/kushal.docx
competition-prediction-SL0yrsvshm8qTtEq2pNCY,0.280 ± 0.062,0.689 ± 0.044,0.713 ± 0.080,0.472 ± 0.076,0.112 ± 0.080,0.390 ± 0.084,kriegegroup,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
competition-prediction-82M7l71QrplhHfU35b05e,0.299 ± 0.061,0.712 ± 0.045,0.761 ± 0.082,0.463 ± 0.069,0.045 ± 0.143,0.437 ± 0.082,talagayev,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-iP786mMvA0oHixPQhfvk0,0.299 ± 0.061,0.712 ± 0.045,0.761 ± 0.082,0.463 ± 0.069,0.045 ± 0.143,0.437 ± 0.082,wolberlab,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-17gXzNQxcTxxissTDCTcD,0.195 ± 0.064,0.793 ± 0.058,1.068 ± 0.130,0.301 ± 0.079,-0.338 ± 0.212,0.252 ± 0.091,agitter,https://doi.org/10.5281/zenodo.14993394
competition-prediction-ql3PX5bGw0STK7pjnNKxh,0.201 ± 0.067,0.803 ± 0.054,1.012 ± 0.116,0.354 ± 0.091,-0.261 ± 0.140,0.279 ± 0.092,ashmita-bose,https://github.com/AshmitaBose/Polaris-ADMET-ASHMITA-BOSE.git
competition-prediction-3snGxRMKjY2PBWmJoWpHP,0.063 ± 0.059,0.814 ± 0.044,0.918 ± 0.083,0.018 ± 0.078,-0.143 ± 0.083,0.081 ± 0.088,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-LpjDxthqjjxZK9fUXF7pZ,0.018 ± 0.062,0.885 ± 0.046,1.063 ± 0.089,0.030 ± 0.090,-0.327 ± 0.131,0.029 ± 0.090,yul533,https://github.com/yul533/polaris-antiviral-challenge/blob/main/admet%20prediction
